Name;Type;ID;Description;ParentElement;ElementType.Name;ElementType.Description;ElementType.ParentElement;Hidden;StrokeThickness;ImageLocation;SelectedStencilType;SelectedStencilConnection;StrokeDashArray;Attributes.Element:Text
Linux Virtual Machines;IT;SE.AA.TMCore.LinuxVirtualMachines;Azure Virtual Machines (VM) is one of several types of on-demand scalable computing resources that Azure offers.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Virtual Machine Scale Sets;IT;SE.AA.TMCore.VirtualMachineScaleSets;Virtual Machine Scale Sets are an Azure Compute resource you can use to deploy and manage a set of identical VMs.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Windows Virtual Machines;IT;SE.AA.TMCore.WindowsVirtualMachines;Azure Virtual Machines (VM) is one of several types of on-demand scalable computing resources that Azure offers.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Advanced Threat Protection;IT;SE.AS.TMCore.AdvancedThreatProtection;Enterprise cloud and onprem threat protection.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
API Management;IT;SE.AS.TMCore.APIManagement;API Management helps organizations publish APIs to external, partner and internal developers to unlock the potential of their data and services.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
App Service;IT;SE.AS.TMCore.AppService;Azure App Service is a fully managed Platform as a Service (PaaS) offering for professional developers that brings a rich set of capabilities to web, mobile and integration scenarios.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Automation;IT;SE.AS.TMCore.Automation;Azure Automation provides a way for users to automate the manual, long-running, error-prone, and frequently repeated tasks that are commonly performed in a cloud environment.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Alerts;IT;458c5aaf-b849-421c-a237-746337f12057;Alerts proactively notify you when important conditions are found in your monitoring data.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
AzureDevOps;IT;SE.AS.TMCore.AzureDevOps;Set up your Team Services account in the cloud. Manage account access, billing, and purchases.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure DevOps Artifacts;IT;354791ad-c9ce-4457-88e1-616ffaaab93e;With Azure Artifacts you can create and share Maven, npm, and NuGet package feeds from public and private sources with teams of any size.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure DevOps Boards;IT;281d2f20-297b-41b3-9b6f-1d677836d9eb;With the Azure Boards web service, teams can manage their software projects.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure DevOps Pipelines;IT;7fcf95f2-d72d-4472-834e-e0bcb1c03853;Azure Pipelines is a cloud service that you can use to automatically build and test your code project and make it available to other users.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure DevOps Repos;IT;6f7b4b59-5273-4eee-8c7c-884d5295ae9e;Azure Repos is a set of version control tools that you can use to manage your code.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Event Hub;IT;SE.AS.TMCore.AzureEventHub;Event Hubs is a highly scalable data ingress service that can ingest millions of events per second so that you can process and analyze the massive amounts of data produced by your connected devices and applications.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Integration Runtime;IT;SE.AS.TMCore.AzureIntegrationRuntime;The Integration Runtime (IR) is the compute infrastructure used by Azure Data Factory to provide data integration capabilities across different network environments.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Kubernetes Service;IT;SE.AS.TMCore.AzureKubernetesService;Azure Kubernetes Service (AKS) manages your hosted Kubernetes environment, making it quick and easy to deploy and manage containerized applications without container orchestration expertise.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Sentinal;IT;89dba5a3-3ee4-4b10-91c0-1b51940e7527;Microsoft Azure Sentinel is a scalable, cloud-native, security information event management (SIEM) and security orchestration automated response (SOAR) solution.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Batch;IT;SE.AS.TMCore.Batch;Azure Batch lets you run large-scale parallel and high-performance computing (HPC) applications efficiently in the cloud.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Biztalk Services;IT;SE.AS.TMCore.BiztalkServices;BizTalk Services provides cloud to on-premises and line-of-business application integration for SAP, Oracle EBS, SQL Server, and PeopleSoft.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Cloud Services;IT;SE.AS.TMCore.CloudServices;Cloud Services is an example of a Platform-as-a-Service (PaaS) implementation. It is designed to support applications that are scalable, reliable, and cost-effective to operate.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Event Grid;IT;SE.AS.TMCore.EventGrid;Azure Event Grid is a fully-managed intelligent event routing service that allows for uniform event consumption using a publish-subscribe model.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Functions;IT;SE.AS.TMCore.Functions;"Azure Functions is a solution for easily running small pieces of code (""functions"") in the cloud.";GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
HockeyApp;IT;SE.AS.TMCore.HockeyApp;Mobile Center has all of the lifecycle and cloud services you need to ship high-quality apps faster and will become the next generation of HockeyApp.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Information Protection;IT;SE.AS.TMCore.InformationProtection;Azure policy definition to protect sensitive data.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Key Vault;IT;SE.AS.TMCore.KeyVault;Azure Key Vault helps safeguard cryptographic keys and secrets used by cloud applications and services.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Log Analytics;IT;SE.AS.TMCore.LogAnalytics;Log Analytics is a service in Operations Management Suite (OMS) that helps you collect and analyze data generated by resources in your cloud and on-premises environments.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
LogicApp;IT;SE.AS.TMCore.LogicApp;Logic Apps provide a way to simplify and implement scalable integrations and workflows in the cloud. It provides a visual designer to model and automate your process as a series of steps known as a workflow.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Multi Factor Authentication;IT;SE.AS.TMCore.MultiFactorAuthentication;Azure Multi-Factor Authentication (MFA) is Microsoft's two-step verification solution.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Mobile Engagement;IT;SE.AS.TMCore.MobileEngagement;Azure Mobile Engagement is a software-as-a-service (SaaS) user-engagement platform that provides data-driven insights into app usage, user segmentation, and enables push notifications and in-app messaging.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Mobile App;IT;SE.AS.TMCore.MobileApp;Mobile Apps in Azure App Service offers a highly scalable, globally available mobile application development platform for Enterprise Developers and System Integrators that brings a rich set of capabilities to mobile developers.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Monitor;IT;SE.AS.TMCore.Monitor;Monitoring and Diagnostics is a distributed systems platform that makes it easy to package, deploy, and manage scalable and reliable microservices and addresses the significant challenges in developing and managing cloud applications.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Notification Hub;IT;SE.AS.TMCore.NotificationHub;Azure Notification Hubs provide an easy-to-use, multi-platform, scaled-out push infrastructure that enables you to send mobile push notifications from any backend (in the cloud or on-premises) to any mobile platform.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Operations Management Suite OMS;IT;SE.AS.TMCore.OMS;Microsoft Operations Management Suite (OMS) is Microsoft's cloud-based IT management solution that helps you manage and protect your on-premises and cloud infrastructure.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Power BI Embedded;IT;SE.AS.TMCore.PowerBIEmbedded;Power BI Embedded is an Azure service that enables application developers to add interactive Power BI reports into their own applications.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Scheduler;IT;SE.AS.TMCore.Scheduler;Azure Scheduler allows you to declaratively describe actions to run in the cloud. It then schedules and runs those actions automatically. Scheduler then maintains a history of job execution results that one can review.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Service Bus;IT;SE.AS.TMCore.ServiceBus;Service Bus provides cloud-enabled communication with enterprise messaging and relayed communication that helps you connect on-premises solutions with the cloud.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Security Center;IT;SE.AS.TMCore.SecurityCenter;Security Center helps you prevent, detect, and respond to threats with increased visibility into and control over the security of your Azure resources.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Service Fabric;IT;SE.AS.TMCore.ServiceFabric;Azure Service Fabric is a distributed systems platform that makes it easy to package, deploy, and manage scalable and reliable microservices.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Site Recovery;IT;SE.AS.TMCore.SiteRecovery;Azure Site Recovery contributes to your business continuity and disaster recovery (BCDR) strategy by orchestrating replication of on-premises virtual machines and physical servers.;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Web API;IT;SE.AS.TMCore.WebAPI;Web API;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Web Application;IT;SE.P.TMCore.WebApp;Web Application;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Anomaly Detector;IT;cdd153aa-a3a5-4e62-bb6e-180ff8fe4709;Anomaly detection capabilities for Apps;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Bot Service;IT;SE.AS.TMCore.BotService;Use the Azure Bot Service to accelerate your bot’s development by working in an integrated environment that’s purpose-built for bot development.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Cognitive Search;IT;cb59aa73-d800-4ed2-99ce-3221e923f93d;Cloud search over private heterogeneous content, with options for AI enrichment if your content is unstructured or unsearchable in raw form.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Cognitive Services;IT;SE.AS.TMCore.CognitiveServices;Cognitive Services is a series of APIs which can be used to enable natural and contextual interaction within your applications. Cognitive Services offers Language, Speech, Vision, Search, and Knowledge APIs.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Cognitive Services Multi Service Account;IT;48f8b568-201d-4c83-8e36-37da7ab4a64f;Add multiple cognitive services to your application.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Computer Vision;IT;95c7caa3-144c-4020-a940-99c4a82dede4;Analyze content in images and videos.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Content Moderator;IT;01574093-858c-44f7-bbcb-d91f50cda4a1;Detect potentially offensive or unwanted content.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Custom Vision;IT;7be8eae2-d026-49d2-aaa2-0d464dc9b3ce;Customize image recognition to fit your business.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Face API;IT;81e4eadc-d76b-4ff6-96ee-2d3ab0982723;Detect and identify people and emotions in images.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Form Recognizer;IT;0ea4615e-eb19-44e3-845a-0cff15521d67;Turn documents into usable data at a fraction of the time and cost.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Immersive Reader;IT;ed80b231-dc61-4119-99f8-9d52e42063fc;Help users read and comprehend text.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Language Services;IT;218d8ecb-c235-4601-bb4a-456bb1180b5f;Build apps with industry-leading natural language understanding capabilities.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Language Understanding;IT;064fb588-ca4e-4e8f-8cb6-9bd4aa2b9733;Understand natural language in your apps.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Machine Learning;IT;SE.AS.TMCore.MachineLearning;Azure Machine Learning provides tools to model predictive analytics as well as a fully managed service you can use to deploy your predictive models as ready-to-consume web services.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Metrics Advisor;IT;30ee020d-9b7a-4ba3-9ddc-106914db9d8f;Proactively monitor metrics and diagnose issues.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Personalizer;IT;5ae4d732-00c6-4003-85e7-37597b388942;Detect potentially offensive or unwanted content.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
QnA Maker;IT;e43d84f6-5db6-4a57-94d9-620bceec8013;Distill information into easy-to-navigate questions and answers.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Speech Services;IT;d4fa6793-ac12-4409-bae1-81c788875c91;Speech to text, text to speech, translation and speaker recognition.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Translator;IT;95d4d4e4-bee7-4eb3-8a00-c3cfbea99319;Translate more than 100 languages and dialects.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Video Analyzer;IT;18f4fd4f-135a-4cda-8885-0bb1a2d88a45;Extract actionable insights from your videos.;b27835b3-2a89-4c17-8b1a-59f9bc09849f;AI Machine Learning;AI & Machine Learning components and services in Azure;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Analysis Services;IT;SE.DS.TMCore.AnalysisServices;Built on the proven analytics engine in Microsoft SQL Server Analysis Services, Azure Analysis Services provides enterprise-grade data modeling in the cloud.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Avere vFXT;IT;SE.DS.TMCore.AverevFXT;Avere vFXT for Azure provides a cloud-based cache layer for data-intensive high performance computing (HPC) tasks.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Data Box;IT;SE.DS.TMCore.AzureDataBox;Secure data transfer by shipping you proprietary storage devices that enable offline or over the network data transfer to Azure.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Data Explorer;IT;237001e7-0fc5-4091-bddd-bb73b107df29;Azure Data Explorer is a fast, fully managed data analytics service for real-time analysis on large volumes of data streaming from applications, websites, IoT devices, and more.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Data Factory;IT;SE.DS.TMCore.AzureDataFactory;Azure Data Factory is a cloud-based data integration service that automates the movement and transformation of data.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Data Share;IT;1e9d464b-f96f-47e1-bb96-93df27333c6d;Azure Data Share is a safe and secure service for sharing data with third-party organizations.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Database for MariaDB;IT;SE.DS.TMCore.AzureDatabaseforMariaDB;Fully managed, enterprise-ready community MariaDB database as a service for app development and deployment;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Database for MySQL;IT;SE.DS.TMCore.AzureDatabaseforMySQL;Fully managed, enterprise-ready community MySQL database as a service for app development and deployment;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Database for PostgreSQL;IT;SE.DS.TMCore.AzureDatabaseforPostgreSQL;Fully managed, enterprise-ready community PostgreSQL database as a service for app development and deployment;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Databricks;IT;SE.DS.TMCore.AzureDatabricks;Azure Databricks workspace with Spark Cluster;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
