Id;ShortTitle;Category;Description;Possible Mitigation(s);Severity;SDL Phase
TH3010;Database service CosmosDB directly exposed to the Internet;IA;Uncontrolled HTTPS flow from Internet to CosmosDB can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of CosmosDB and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3011;Uncontrolled HTTPS access from Internet to Azure Storage;R;Uncontrolled HTTPS flow from Internet to Azure Storage can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Internet and Azure Storage, and send logs to a central SIEM for alerting and investigations.;Critical;
TH3012;Uncontrolled TCP access from Internet to Azure Storage;IA;Uncontrolled TCP flow from Internet to Azure Storage can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Storage and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3013;Insecure secret and key handling between Internet and Azure Redis Cache;I;Uncontrolled TCP flow from Internet to Azure Redis Cache can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Internet and Azure Redis Cache, and minimise the amount of data exposed.;Critical;
TH3014;Uncontrolled TCP/UDP access from Virtual Network to Internet;I;Uncontrolled TCP/UDP flow from Virtual Network to Internet can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Virtual Network and Internet, and minimise the amount of data exposed.;High;
TH3015;Overly open network path from VPN Gateway to Virtual Network;T;Uncontrolled TCP/UDP flow from VPN Gateway to Virtual Network can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from VPN Gateway to Virtual Network, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3016;Overly open network path from ExpressRoute to Virtual Network;T;Uncontrolled TCP/UDP flow from ExpressRoute to Virtual Network can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from ExpressRoute to Virtual Network, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3017;Direct Internet access to Application Gateway without application-layer protection;I;Uncontrolled HTTP flow from Internet to Application Gateway can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Internet and Application Gateway, and minimise the amount of data exposed.;High;
TH3018;Access to Web Application without Web Application Firewall protection;I;Uncontrolled HTTP flow from Azure Front Door to Web Application can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Front Door and Web Application, and minimise the amount of data exposed.;High;
TH3019;Overly open network path from Internet to Virtual Network;IA;Uncontrolled TCP/UDP flow from Internet to Virtual Network can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Virtual Network and restrict inbound TCP/UDP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3020;Uncontrolled HTTPS access from Internet to Azure Kubernetes Service;IA;Uncontrolled HTTPS flow from Internet to Azure Kubernetes Service can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Kubernetes Service and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3021;Uncontrolled HTTPS access from Internet to Azure Firewall;IA;Uncontrolled HTTPS flow from Internet to Azure Firewall can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Firewall and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3022;Uncontrolled HTTPS access from Browser to Service Bus;T;Uncontrolled HTTPS flow from Browser to Service Bus can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Browser to Service Bus, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3023;Insufficient security logging for traffic Internet to Log Analytics;R;Uncontrolled HTTPS flow from Internet to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Internet and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3024;Overly open network path from Internet to Windows Virtual Machines;IA;Uncontrolled TCP/UDP flow from Internet to Windows Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Windows Virtual Machines and restrict inbound TCP/UDP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3025;Uncontrolled TCP access from Web Application to Azure SQL Database;R;Uncontrolled TCP flow from Web Application to Azure SQL Database can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Web Application and Azure SQL Database, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3026;Excessive data exposure from CosmosDB to Web Application;I;Uncontrolled HTTPS flow from Web Application to CosmosDB can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Web Application and CosmosDB, and minimise the amount of data exposed.;High;
TH3027;Insecure secret and key handling between App Service and Azure SQL Database;R;Uncontrolled TCP flow from App Service to Azure SQL Database can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between App Service and Azure SQL Database, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3028;Insecure secret and key handling between API App and Configuration File;T;Uncontrolled nan flow from API App to Configuration File can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from API App to Configuration File, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3029;Uncontrolled HTTPS access from Functions to Azure Resources;T;Uncontrolled HTTPS flow from Functions to Azure Resources can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Functions to Azure Resources, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3030;Uncontrolled HTTPS access from LogicApp to Internet;R;Uncontrolled HTTPS flow from LogicApp to Internet can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between LogicApp and Internet, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3031;Uncontrolled HTTPS access from Azure Kubernetes Service to Internet;IA;Uncontrolled HTTPS flow from Azure Kubernetes Service to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3032;Weak identity controls on access from Web Application to Service Bus;T;Uncontrolled AMQP flow from Web Application to Service Bus can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to Service Bus, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3033;Insecure secret and key handling between App Service and Browser;T;Uncontrolled HTTPS flow from App Service to Browser can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from App Service to Browser, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3034;Uncontrolled HTTPS access from API App to Internet;D;Uncontrolled HTTPS flow from API App to Internet can lead to denial of service or resource exhaustion.;Rate-limit and filter HTTPS traffic from API App to Internet, using DDoS protection, throttling and input validation to prevent resource exhaustion.;High;
TH3035;Uncontrolled HTTPS access from App Service to Internet;IA;Uncontrolled HTTPS flow from App Service to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3036;Uncontrolled HTTPS access from Web Application to Azure Storage;E;Uncontrolled HTTPS flow from Web Application to Azure Storage can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Web Application and Azure Storage, removing admin-level permissions that are not strictly required.;High;
TH3037;Access to Internet without Web Application Firewall protection;IA;Uncontrolled TCP flow from Azure Kubernetes Service to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3038;Uncontrolled TCP access from Functions to Azure SQL Database;T;Uncontrolled TCP flow from Functions to Azure SQL Database can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Functions to Azure SQL Database, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3039;Excessive data exposure from Azure SQL Database to App Service;I;Uncontrolled HTTP flow from App Service to Azure SQL Database can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between App Service and Azure SQL Database, and minimise the amount of data exposed.;High;
TH3040;Uncontrolled HTTPS access from API App to Browser;I;Uncontrolled HTTPS flow from API App to Browser can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between API App and Browser, and minimise the amount of data exposed.;High;
TH3041;Uncontrolled HTTPS access from Web Application to *;T;Uncontrolled HTTPS flow from Web Application to * can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to *, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3042;Uncontrolled HTTPS access from Azure DevOps Pipelines to Internet;IA;Uncontrolled HTTPS flow from Azure DevOps Pipelines to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3043;Insecure secret and key handling between Azure DevOps Pipelines and *;I;Uncontrolled nan flow from Azure DevOps Pipelines to * can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure DevOps Pipelines and *, and minimise the amount of data exposed.;High;
TH3044;Uncontrolled NAN access from Azure DevOps Pipelines to Windows Virtual Machines;E;Uncontrolled nan flow from Azure DevOps Pipelines to Windows Virtual Machines can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Azure DevOps Pipelines and Windows Virtual Machines, removing admin-level permissions that are not strictly required.;High;
TH3045;Uncontrolled HTTPS access from Web Application to Azure Event Hub;T;Uncontrolled HTTPS flow from Web Application to Azure Event Hub can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to Azure Event Hub, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3046;Uncontrolled HTTPS access from Functions to Azure Data Factory;T;Uncontrolled HTTPS flow from Functions to Azure Data Factory can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Functions to Azure Data Factory, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3047;Uncontrolled HTTPS access from LogicApp to Azure Service Boundary;R;Uncontrolled HTTPS flow from LogicApp to Azure Service Boundary can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between LogicApp and Azure Service Boundary, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3048;Excessive data exposure from Disk to Azure SQL Database;T;Uncontrolled nan flow from Azure SQL Database to Disk can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure SQL Database to Disk, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3049;Uncontrolled HTTPS access from Azure SQL Database to Azure Storage;T;Uncontrolled HTTPS flow from Azure SQL Database to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure SQL Database to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3050;Uncontrolled HTTPS access from Azure Storage to *;R;Uncontrolled HTTPS flow from Azure Storage to * can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure Storage and *, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3051;Uncontrolled HTTPS access from Azure Storage to Azure Service Boundary;T;Uncontrolled HTTPS flow from Azure Storage to Azure Service Boundary can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Storage to Azure Service Boundary, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3052;Uncontrolled HTTPS access from Multiple Applications to CosmosDB;T;Uncontrolled HTTPS flow from Multiple Applications to CosmosDB can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Multiple Applications to CosmosDB, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3053;Uncontrolled HTTPS access from Azure Data Lake Store to Data Scientist;I;Uncontrolled HTTPS flow from Azure Data Lake Store to Data Scientist can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Lake Store and Data Scientist, and minimise the amount of data exposed.;High;
TH3054;Weak identity controls on access from Internet to Azure Synapse;IA;Uncontrolled HTTPS flow from Internet to Azure Synapse can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Synapse and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3055;Excessive data exposure from Azure Redis Cache to App Service;I;Uncontrolled TCP flow from App Service to Azure Redis Cache can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between App Service and Azure Redis Cache, and minimise the amount of data exposed.;High;
TH3056;Insecure HTTP communication between Azure Data Factory and Internet;I;Uncontrolled HTTP flow from Azure Data Factory to Internet can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Factory and Internet, and minimise the amount of data exposed.;High;
TH3057;Insecure secret and key handling between Azure Data Factory and Configuration File;I;Uncontrolled nan flow from Azure Data Factory to Configuration File can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Factory and Configuration File, and minimise the amount of data exposed.;High;
TH3058;Uncontrolled TCP access from Azure SQL Database to *;R;Uncontrolled TCP flow from Azure SQL Database to * can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure SQL Database and *, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3059;Uncontrolled NAN access from Human User to Azure Storage;T;Uncontrolled nan flow from Human User to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Human User to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3060;Uncontrolled HTTPS access from Backup to Azure Storage;T;Uncontrolled HTTPS flow from Backup to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Backup to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3061;Insufficient security logging for traffic Azure SQL Database to Log Analytics;R;Uncontrolled HTTPS flow from Azure SQL Database to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure SQL Database and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3062;Weak identity controls on access from Human User to Azure AD;E;Uncontrolled HTTPS flow from Human User to Azure AD can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Human User and Azure AD, removing admin-level permissions that are not strictly required.;High;
TH3063;Insecure secret and key handling between Automation Runbook and Azure Resources;T;Uncontrolled HTTPS flow from Automation Runbook to Azure Resources can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Automation Runbook to Azure Resources, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3064;Insufficient security logging for traffic Azure Monitor to Internet;I;Uncontrolled SMTP flow from Azure Monitor to Internet can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Monitor and Internet, and minimise the amount of data exposed.;High;
TH3065;Insufficient security logging for traffic Azure Sentinal to External SIEM;R;Uncontrolled HTTP flow from Azure Sentinal to External SIEM can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure Sentinal and External SIEM, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3066;Insufficient security logging for traffic Human User to Log Analytics;R;Uncontrolled HTTPS flow from Human User to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Human User and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3067;Uncontrolled NAN access from Security Center to Azure Resources;T;Uncontrolled nan flow from Security Center to Azure Resources can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Security Center to Azure Resources, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3068;Overly open network path from Virtual Network to *;T;Uncontrolled TCP/UDP flow from Virtual Network to * can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Virtual Network to *, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3069;Weak identity controls on access from Azure AD to Azure Monitor;R;Uncontrolled nan flow from Azure AD to Azure Monitor can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure AD and Azure Monitor, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3070;Uncontrolled NAN access from Management Group Trust Boundary to Subscription Trust Boundary;T;Uncontrolled nan flow from Management Group Trust Boundary to Subscription Trust Boundary can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Management Group Trust Boundary to Subscription Trust Boundary, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3071;Weak identity controls on access from Human User to Azure Portal;E;Uncontrolled HTTPS flow from Human User to Azure Portal can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Human User and Azure Portal, removing admin-level permissions that are not strictly required.;High;
TH3072;Insecure HTTP communication between Human User and AzureDevOps;R;Uncontrolled HTTPS flow from Human User to AzureDevOps can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Human User and AzureDevOps, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3073;Uncontrolled NAN access from Human User to Azure Service Boundary;T;Uncontrolled nan flow from Human User to Azure Service Boundary can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Human User to Azure Service Boundary, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3074;Insecure secret and key handling between Internet and Key Vault;IA;Uncontrolled HTTPS flow from Internet to Key Vault can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Key Vault and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3075;Uncontrolled RDP access from Internet to Windows Virtual Machines;IA;Uncontrolled RDP flow from Internet to Windows Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Windows Virtual Machines and restrict inbound RDP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3076;Uncontrolled SSH access from Internet to Linux Virtual Machines;IA;Uncontrolled SSH flow from Internet to Linux Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Linux Virtual Machines and restrict inbound SSH traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3077;Direct Internet access to Azure Kubernetes Service without application-layer protection;IA;Uncontrolled TCP flow from Internet to Azure Kubernetes Service can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Kubernetes Service and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3078;Uncontrolled HTTPS access from Internet to Azure Kubernetes Service;IA;Uncontrolled HTTPS flow from Internet to Azure Kubernetes Service can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Kubernetes Service and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3079;Uncontrolled AMQP access from Internet to Service Bus;D;Uncontrolled AMQP flow from Internet to Service Bus can lead to denial of service or resource exhaustion.;Rate-limit and filter AMQP traffic from Internet to Service Bus, using DDoS protection, throttling and input validation to prevent resource exhaustion.;High;
TH3080;Uncontrolled AMQP access from Internet to Azure Event Hub;IA;Uncontrolled AMQP flow from Internet to Azure Event Hub can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Event Hub and restrict inbound AMQP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3081;Uncontrolled TCP access from Internet to Azure Data Factory;IA;Uncontrolled TCP flow from Internet to Azure Data Factory can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Data Factory and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3082;Uncontrolled TCP access from Internet to Azure Redis Cache;IA;Uncontrolled TCP flow from Internet to Azure Redis Cache can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Redis Cache and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3083;Weak identity controls on access from Remote User Zone to Virtual Network;T;Uncontrolled IPSec flow from Remote User Zone to Virtual Network can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Remote User Zone to Virtual Network, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3084;Excessive data exposure from Azure Synapse to Internet;I;Uncontrolled HTTPS flow from Internet to Azure Synapse can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Internet and Azure Synapse, and minimise the amount of data exposed.;High;
TH3085;Uncontrolled HTTPS access from Internet to Cognitive Services;IA;Uncontrolled HTTPS flow from Internet to Cognitive Services can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Cognitive Services and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3086;Overly open network path from Internet to Azure DevOps Pipelines;IA;Uncontrolled HTTPS flow from Internet to Azure DevOps Pipelines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure DevOps Pipelines and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3087;Uncontrolled TDS access from Browser Client to Azure SQL Database;R;Uncontrolled TDS flow from Browser Client to Azure SQL Database can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Browser Client and Azure SQL Database, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3088;Uncontrolled HTTPS access from Web Application to Internet;IA;Uncontrolled HTTPS flow from Web Application to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3089;Insecure HTTP communication between API App and Internet;IA;Uncontrolled HTTP flow from API App to Internet can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Internet and restrict inbound HTTP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3090;Weak identity controls on access from API App to Azure SQL Database;T;Uncontrolled TDS flow from API App to Azure SQL Database can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from API App to Azure SQL Database, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3091;Uncontrolled TDS access from Functions to Azure SQL Database;IA;Uncontrolled TDS flow from Functions to Azure SQL Database can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure SQL Database and restrict inbound TDS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3092;Uncontrolled HTTPS access from Azure Kubernetes Service to API App;T;Uncontrolled HTTPS flow from Azure Kubernetes Service to API App can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Kubernetes Service to API App, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3093;Excessive data exposure from Azure Event Hub to API App;R;Uncontrolled AMQP flow from API App to Azure Event Hub can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between API App and Azure Event Hub, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3094;Uncontrolled HTTPS access from LogicApp to *;R;Uncontrolled HTTPS flow from LogicApp to * can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between LogicApp and *, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3095;Weak identity controls on access from Mobile App to API App;T;Uncontrolled HTTPS flow from Mobile App to API App can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Mobile App to API App, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3096;Uncontrolled TCP access from Web Application to Azure Redis Cache;T;Uncontrolled TCP flow from Web Application to Azure Redis Cache can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to Azure Redis Cache, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3097;Insecure secret and key handling between App Service and Key Vault;T;Uncontrolled HTTPS flow from App Service to Key Vault can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from App Service to Key Vault, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3098;Overly open network path from API App to Virtual Network;T;Uncontrolled TCP flow from API App to Virtual Network can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from API App to Virtual Network, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3099;Overly open network path from Azure DevOps Pipelines to Web Application;T;Uncontrolled HTTPS flow from Azure DevOps Pipelines to Web Application can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure DevOps Pipelines to Web Application, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
